disease-id	disease-name	other-ids	parent-ids	disease-treenum	disease-synonyms	disease-category
OMIM:193235	VITREORETINOPATHY, NEOVASCULAR INFLAMMATORY		MESH:D018630	C11.768.890/193235	ADNIV|PROLIFERATIVE VITREORETINOPATHY|PVR|VITREORETINOPATHY, NEOVASCULAR INFLAMMATORY, AUTOSOMAL DOMINANT|VRNI	Eye disease
MESH:C567831	Emery-Dreifuss Muscular Dystrophy 4		MESH:D020389	C05.651.534.500.350/C567831|C10.668.491.175.500.350/C567831|C16.320.322.625/C567831|C16.320.577.350/C567831	Emery-Dreifuss Muscular Dystrophy 4, Autosomal Dominant	Genetic disease (inborn)|Musculoskeletal disease|Nervous system disease
MESH:D018058	Tympanic Membrane Perforation		MESH:D004427|MESH:D014947	C09.218.903|C26.930	Eardrum Perforation|Membrane Perforation, Tympanic|Membrane Rupture, Tympanic|Perforation, Eardrum|Rupture, Tympanic Membrane|Tympanic Membrane Rupture	Ear-nose-throat disease|Wounds and injuries
MESH:C562937	Hypochondroplasia	OMIM:146000	MESH:D004392|MESH:D008141|MESH:D017880	C05.116.099.343/C562937|C05.116.900.800.750/C562937|C05.660.585/C562937|C16.131.621.585/C562937|C16.320.240/C562937|C19.297/C562937	HCH|Hypochondrodysplasia	Congenital abnormality|Endocrine system disease|Genetic disease (inborn)|Musculoskeletal disease
MESH:D012164	Retinal Diseases	DO:DOID:5679	MESH:D005128	C11.768	Disease, Retinal|Diseases, Retinal|Retinal Disease	Eye disease
MESH:C563853	Transposition of the Great Arteries, Dextro-Looped 1	OMIM:608808	MESH:D014188	C14.240.400.915/C563853|C14.280.400.915/C563853|C16.131.240.400.915/C563853	D-TGA|DTGA1	Cardiovascular disease|Congenital abnormality
MESH:D020347	Lithiasis		MESH:D010335	C23.550.537	Calculoses|Calculosis|Lithiases	Pathology (process)
MESH:C580192	Immune Dysregulation, Polyendocrinopathy, Enteropathy, X-Linked Syndrome	OMIM:304790	MESH:D003922|MESH:D003967|MESH:D007154|MESH:D040181	C16.320.322/C580192|C18.452.394.750.124/C580192|C19.246.267/C580192|C20.111.327/C580192|C20/C580192|C23.888.821.214/C580192	Autoimmunity-Immunodeficiency Syndrome, X-Linked|Diabetes Mellitus, Congenital Insulin-Dependent, with Fatal Secretory Diarrhea|Diarrhea, Polyendocrinopathy, Fatal Infection Syndrome, X-Linked|DMSD|Enteropathy, Autoimmune, with Hemolytic Anemia and Polyendocrinopathy|IDDM-Secretory Diarrhea Syndrome|IMMUNODEFICIENCY, POLYENDOCRINOPATHY, AND ENTEROPATHY, X-LINKED, FORMERLY  ISLETS OF LANGERHANS, ABSENCE OF, INCLUDED|Immunodysregulation, Polyendocrinopathy, and Enteropathy, X-Linked|IPEX|Ipex Syndrome|Polyendocrinopathy, Immune Dysfunction, and Diarrhea, X-Linked|XLAAD|X-Linked Autoimmunity-Allergic Dysregulation Syndrome|XPID	Endocrine system disease|Genetic disease (inborn)|Immune system disease|Metabolic disease|Signs and symptoms
MESH:D003110	Colonic Neoplasms	DO:DOID:219|DO:DOID:235	MESH:D015179	C04.588.274.476.411.307.180|C06.301.371.411.307.180|C06.405.249.411.307.180|C06.405.469.158.356.180|C06.405.469.491.307.180	Cancer, Colon|Cancer, Colonic|Cancer of Colon|Cancer of the Colon|Cancers, Colon|Cancers, Colonic|Colon Cancer|Colon Cancers|Colonic Cancer|Colonic Cancers|Colonic Neoplasm|Colon Neoplasm|Colon Neoplasms|Neoplasm, Colon|Neoplasm, Colonic|Neoplasms, Colon|Neoplasms, Colonic	Cancer|Digestive system disease
OMIM:190900	TRITANOPIA	DO:DOID:11661	MESH:D003117	C10.597.751.941.256/190900|C11.966.256/190900|C23.888.592.763.941.256/190900	BLUE COLORBLINDNESS|CBT|COLORBLINDNESS, TRITAN|COLORBLINDNESS, TRITANOPIC	Eye disease|Nervous system disease|Signs and symptoms
MESH:D007715	Klippel-Trenaunay-Weber Syndrome	DO:DOID:2926|OMIM:149000	MESH:D000798	C14.907.077.410	Angioosteohypertrophy Syndrome|Angio Osteohypertrophy Syndrome|Angio-Osteohypertrophy Syndrome|Angioosteohypertrophy Syndromes|Angio-Osteohypertrophy Syndromes|Angiopathies, Congenital Dysplastic|Angiopathy, Congenital Dysplastic|Congenital Dysplastic Angiopathies|Congenital Dysplastic Angiopathy|Disease, Klippel-Trenaunay|Dysplastic Angiopathies, Congenital|Dysplastic Angiopathy, Congenital|Klippel Trenaunay Disease|Klippel-Trenaunay Disease|Klippel Trenaunay Syndrome|Klippel-Trenaunay Syndrome|Klippel-Trenaunay Syndromes|Klippel Trenaunay Weber Syndrome|Klippel Trénaunay Weber Syndrome|Klippel-Trénaunay-Weber Syndrome|KTS|KTW Syndrome|KTW Syndromes|Syndrome, Angioosteohypertrophy|Syndrome, Angio-Osteohypertrophy|Syndrome, Klippel Trenaunay|Syndrome, Klippel-Trenaunay|Syndrome, Klippel-Trenaunay-Weber|Syndrome, Klippel-Trénaunay-Weber|Syndrome, KTW|Syndromes, Angioosteohypertrophy|Syndromes, Angio-Osteohypertrophy|Syndromes, Klippel-Trenaunay|Syndromes, KTW	Cardiovascular disease
MESH:D010494	Pericarditis, Constrictive	DO:DOID:11481	MESH:D010493	C14.280.720.595	Constrictive Pericarditides|Constrictive Pericarditis|Heart Pick's Disease|Pericarditides, Constrictive|Pick Disease, Heart|Pick Disease of Heart|Picks Disease, Heart|Pick's Disease of Heart	Cardiovascular disease
MESH:C564029	Hairy Ears, Y-Linked	OMIM:425500	MESH:D006983|MESH:D050174	C16.320.338/C564029|C17.800.329.875/C564029	Hypertrichosis Pinnae Auris, Y-Linked	Genetic disease (inborn)|Skin disease
MESH:D006480	Hemorrhagic Fever with Renal Syndrome	DO:DOID:11266	MESH:D006482|MESH:D018778	C02.782.147.420.400|C02.782.417.450	Epidemic Hemorrhagic Fever|Epidemic Hemorrhagic Fevers|Hemorrhagic Fever, Epidemic|Hemorrhagic Fever, Korean|Hemorrhagic Fevers, Epidemic|Hemorrhagic Nephroso-Nephritides|Hemorrhagic Nephroso Nephritis|Hemorrhagic Nephroso-Nephritis|HFRS|Korean Hemorrhagic Fever|Nephropathia Epidemica|Nephroso-Nephritides, Hemorrhagic|Nephroso-Nephritis, Hemorrhagic	Viral disease
MESH:D010272	Parasitic Diseases		MESH:C	C03	Disease, Parasitic|Diseases, Parasitic|Infection, Parasite|Infection, Parasitic|Infections, Parasite|Infections, Parasitic|Parasite Infection|Parasite Infections|Parasitic Disease|Parasitic Infection|Parasitic Infections	Parasitic disease
MESH:D052496	Lipodystrophy, Familial Partial	DO:DOID:0050440|OMIM:151660|OMIM:604367|OMIM:613877|OMIM:615238|OMIM:615980	MESH:D008060	C17.800.849.391.700|C18.452.584.625.700|C18.452.880.391.700	Dunnigan Syndrome|Familial Partial Lipodystrophies|Familial Partial Lipodystrophy|Familial Partial Lipodystrophy, Kobberling Type|Familial Partial Lipodystrophy, Type 1|Familial Partial Lipodystrophy, Type 2|Familial Partial Lipodystrophy, Type 3|FPL2|FPLD2|FPLD3|FPLD4|FPLD5|FPLD6|Koberling Dunnigan Syndrome|Koberling-Dunnigan Syndrome|LIPOATROPHIC DIABETES|Lipodystrophies, Familial Partial|Lipodystrophies, Reverse Partial|Lipodystrophy, Familial, of Limbs and Lower Trunk|LIPODYSTROPHY, FAMILIAL PARTIAL, ASSOCIATED WITH CIDEC MUTATIONS|LIPODYSTROPHY, FAMILIAL PARTIAL, ASSOCIATED WITH LIPE MUTATIONS|LIPODYSTROPHY, FAMILIAL PARTIAL, ASSOCIATED WITH PLIN1 MUTATIONS|Lipodystrophy, Familial Partial, Associated With PPARg Mutations|Lipodystrophy, Familial Partial, Dunnigan Type|Lipodystrophy, Familial Partial, Kobberling Type|Lipodystrophy, Familial Partial, Type 1|Lipodystrophy, Familial Partial, Type 2|Lipodystrophy, Familial Partial, Type 3|LIPODYSTROPHY, FAMILIAL PARTIAL, TYPE 4|LIPODYSTROPHY, FAMILIAL PARTIAL, TYPE 5|LIPODYSTROPHY, FAMILIAL PARTIAL, TYPE 6|Lipodystrophy, Reverse Partial|Partial Lipodystrophies, Familial|Partial Lipodystrophies, Reverse|Partial Lipodystrophy, Familial|Partial Lipodystrophy, Reverse|Reverse Partial Lipodystrophies|Reverse Partial Lipodystrophy|Syndrome, Dunnigan	Metabolic disease|Skin disease
MESH:C538604	Pericardial constriction with growth failure		MESH:D050336	C05.116.099.343.796/C538604|C16.320.240.875/C538604	Pericardial Constriction And Growth Failure	Genetic disease (inborn)|Musculoskeletal disease
MESH:C565156	Corneal Endothelial Dystrophy 1		MESH:D003317	C11.204.236/C565156|C11.270.162/C565156|C16.320.290.162/C565156		Eye disease|Genetic disease (inborn)
MESH:D001986	Bronchial Spasm		MESH:D001982	C08.127.321	Bronchial Spasms|Bronchospasm|Bronchospasms|Spasm, Bronchial|Spasms, Bronchial	Respiratory tract disease
MESH:D005334	Fever		MESH:D001832	C23.888.119.344	Fevers|Hyperthermia|Hyperthermias|Pyrexia|Pyrexias	Signs and symptoms
MESH:C535428	Benign essential blepharospasm	OMIM:606798	MESH:D001764	C11.338.250/C535428	Blepharospasm, Benign Essential|Essential Blepharospasm|Eyelid Twitching|Primary Blepharospasm|Spasm of Eyelids	Eye disease
MESH:C564967	Myotonia with Skeletal Abnormalities and Mental Retardation		MESH:D008607|MESH:D009224	C05.651.662.500/C564967|C10.574.500.545/C564967|C10.597.606.643/C564967|C10.668.491.606.500/C564967|C16.320.400.540/C564967|C23.888.592.604.646/C564967|F03.625.539/C564967		Genetic disease (inborn)|Mental disorder|Musculoskeletal disease|Nervous system disease|Signs and symptoms
MESH:D013899	Thoracic Neoplasms	DO:DOID:5093	MESH:D009371	C04.588.894	Neoplasms, Thoracic|Neoplasm, Thoracic|Thoracic Neoplasm	Cancer
MESH:C536778	Systemic carnitine deficiency	DO:DOID:14365|OMIM:212140	MESH:D009135|MESH:D009202|MESH:D022124	C05.651/C536778|C10.668.491/C536778|C14.280.238/C536778|C23.550.421/C536778	Carnitine deficiency, primary|Carnitine deficiency, systemic, due to defect in renal reabsorption of carnitine|Carnitine deficiency, systemic primary|Carnitine Transporter Deficiency|Carnitine transporter, plasma-membrane, deficiency of|Carnitine uptake defect|Carnitine Uptake Deficiency|CDSP|CUD|Primary Carnitine Deficiency|Renal Carnitine Transport Defect|SCD|SYSTEMIC CARNITINE DEFICIENCY	Cardiovascular disease|Musculoskeletal disease|Nervous system disease|Pathology (process)
OMIM:612953	PARKINSON DISEASE 14, AUTOSOMAL RECESSIVE	DO:DOID:0060900	MESH:D010300	C10.228.140.079.862.500/612953|C10.228.662.600.400/612953|C10.574.812/612953	DYSTONIA-PARKINSONISM, ADULT-ONSET|PARK14	Nervous system disease
MESH:D018269	Carcinoma, Endometrioid	DO:DOID:2871	MESH:D000230|MESH:D010051|MESH:D016889	C04.557.470.200.025.240|C04.588.945.418.948.585.124|C13.351.500.056.630.705.331|C13.351.937.418.685.331|C13.351.937.418.875.200.124|C19.391.630.705.331	Adenocarcinoma, Endometrioid|Adenocarcinomas, Endometrioid|Carcinomas, Endometrioid|Endometrioid Adenocarcinoma|Endometrioid Adenocarcinomas|Endometrioid Carcinoma|Endometrioid Carcinomas	Cancer|Endocrine system disease|Urogenital disease (female)
MESH:C564743	Methylmalonic Aciduria and Homocystinuria, CblD Type	OMIM:277410	MESH:D000592	C16.320.565.100/C564743|C18.452.648.100/C564743	Homocystinuria, CblD Type, Variant 1|Methylmalonic Acidemia and Homocystinuria, CblD Type|METHYLMALONIC ACIDEMIA AND HOMOCYSTINURIA, cblD TYPE METHYLMALONIC ACIDURIA, cblH TYPE, FORMERLY|METHYLMALONIC ACIDEMIA, cblH TYPE, FORMERLY HOMOCYSTINURIA, cblD TYPE, VARIANT 1, INCLUDED|Methylmalonic Aciduria, CblD Type, Variant 2|METHYLMALONIC ACIDURIA, cblD TYPE, VARIANT 2, INCLUDED	Genetic disease (inborn)|Metabolic disease
MESH:C537908	Barber Say syndrome	DO:DOID:0060549|OMIM:209885	MESH:D005141|MESH:D006628|MESH:D006972|MESH:D006983|MESH:D008265|MESH:D012868	C05.116.099.370.231.480/C537908|C05.660.207.231.480/C537908|C07.465.525.480/C537908|C07.650.525.480/C537908|C11.338/C537908|C16.131.621.207.231.480/C537908|C16.131.831/C537908|C16.131.850.525.480/C537908|C17.800.329.750/C537908|C17.800.329.875/C537908|C17.800.804/C537908|C23.888.971.468/C537908	Barber-Say Syndrome|BBRSAY|BSS|Hypertrichosis, atrophic skin, ectropion, and macrostomia	Congenital abnormality|Eye disease|Mouth disease|Musculoskeletal disease|Signs and symptoms|Skin disease
MESH:C538387	Hypertelorism with esophageal abnormality and hypospadias	OMIM:145410	MESH:D006972|MESH:D007021	C05.116.099.370.231.480/C538387|C05.660.207.231.480/C538387|C12.294.494.400/C538387|C12.706.516/C538387|C13.351.875.466/C538387|C16.131.621.207.231.480/C538387|C16.131.939.516/C538387	Autosomal Dominant Opitz Syndrome (ADOS)|BBB SYNDROME|Chromosome 22q11.2 Deletion Syndrome, Opitz Phenotype|GBBB2|GBBB SYNDROME|G SYNDROME|Hypertelorism-Hypospadias Sydrome|Hypertelorism hypospadias syndrome|HYPERTELORISM-HYPOSPADIAS SYNDROME|Hypertelorism with Esophageal Abnormalities and Hypospadias|HYPERTELORISM WITH ESOPHAGEAL ABNORMALITY AND HYPOSPADIAS|Hypospadias-dysphagia, syndrome|Hypospadias-Dysphagia Syndrome|OGS2|Opitz BBBG syndrome|Opitz BBB-G Syndrome|Opitz BBB Syndrome|Opitz-Frias syndrome|Opitz G-BBB Syndrome|Opitz GBBB Syndrome, Autosomal Dominant|Opitz GBBB Syndrome, Type II|Opitz G Syndrome|Opitz-G syndrome, type 2|Opitz-G Syndrome, Type II|Opitz Oculogenitolaryngeal Syndrome, Type II|TELECANTHUS-HYPOSPADIAS SYNDROME|Telecanthus with associated abnormalities	Congenital abnormality|Musculoskeletal disease|Urogenital disease (female)|Urogenital disease (male)
MESH:C564390	Cardiomyopathy, Dilated, 1M	OMIM:607482	MESH:D002311	C14.280.195.160/C564390|C14.280.238.070/C564390	CMD1M	Cardiovascular disease
MESH:C538157	Blau syndrome	OMIM:186580	MESH:D001168|MESH:D013585|MESH:D014605	C05.550.114/C538157|C05.550.870/C538157|C11.941.879/C538157	ACUG|Arthrocutaneouveal granulomatosis|BLAUS|Early-Onset Sarcoidosis|EOS|Familial Granulomatosis, Blau Type|Familial Juvenile Systemic Granulomatosis|Granulomatosis, familial, Blau type|Granulomatosis, familial juvenile systemic|Granulomatous inflammatory arthritis, dermatitis, and uveitis, familial|Jabs syndrome|Pediatric Granulomatous Arthritis|SARCOIDOSIS, EARLY-ONSET|Synovitis granulomatous with uveitis and cranial neuropathies|Synovitis, Granulomatous, With Uveitis And Cranial Neuropathies	Eye disease|Musculoskeletal disease
MESH:C562717	Rh Deficiency Syndrome		MESH:D030342	C16.320/C562717		Genetic disease (inborn)
MESH:C564457	Microphthalmia, Syndromic 4	OMIM:301590	MESH:D008850|MESH:D038901	C10.597.606.643.455/C564457|C11.250.566/C564457|C16.131.384.666/C564457|C16.320.322.500/C564457|C16.320.400.525/C564457	ANOP1, FORMERLY|MCOPS4|Microphthalmia With Ankyloblepharon And Mental Retardation	Congenital abnormality|Eye disease|Genetic disease (inborn)|Nervous system disease
OMIM:616126	IMMUNODEFICIENCY 38 WITH BASAL GANGLIA CALCIFICATION		MESH:D001480|MESH:D002114|MESH:D007153	C10.228.140.079/616126|C18.452.174.130/616126|C20.673/616126	IMD38|IMMUNODEFICIENCY 38, MYCOBACTERIOSIS, AUTOSOMAL RECESSIVE|ISG15 DEFICIENCY, AUTOSOMAL RECESSIVE	Immune system disease|Metabolic disease|Nervous system disease
MESH:C537373	Multicystic renal dysplasia, bilateral	OMIM:143400	MESH:D006869|MESH:D014517|MESH:D021782	C12.706.629/C537373|C12.777.419.307/C537373|C12.777.419.403.750/C537373|C12.777.725.776/C537373|C13.351.875.558/C537373|C13.351.968.419.307/C537373|C13.351.968.419.403.750/C537373|C13.351.968.725.776/C537373|C16.131.939.629/C537373	CAKUT2|CONGENITAL ANOMALIES OF KIDNEY AND URINARY TRACT 2|Hydronephrosis Due To Pujo|MCRD|MULTICYSTIC RENAL DYSPLASIA, BILATERAL|Pelvi-ureteric junction obstruction|Pelviureteric Junction Obstruction|PUJO|UPJO|URETEROPELVIC JUNCTION OBSTRUCTION	Congenital abnormality|Urogenital disease (female)|Urogenital disease (male)
MESH:D008659	Metabolic Diseases	DO:DOID:0014667	MESH:D009750	C18.452	Disease, Metabolic|Diseases, Metabolic|Metabolic Disease|Thesaurismoses|Thesaurismosis	Metabolic disease
MESH:C548028	Inherited Peripheral Neuropathy		MESH:D010523	C10.668.829/C548028		Nervous system disease
MESH:D016506	Pemphigus, Benign Familial	DO:DOID:0050429|OMIM:169600	MESH:D012872|MESH:D012873	C16.320.850.700|C17.800.827.700|C17.800.865.858	BCPM|Benign Chronic Pemphigus|Benign Familial Pemphigus|Familial Benign Chronic Pemphigus|Familial Pemphigus, Benign|Hailey Hailey Disease|Hailey-Hailey Disease|HHD|PEMPHIGUS, BENIGN FAMILIAL	Genetic disease (inborn)|Skin disease
MESH:D008479	Mediastinal Neoplasms	DO:DOID:5559	MESH:D008477|MESH:D013899	C04.588.894.479|C08.846.187.580	Cancer, Mediastinal|Cancer, Mediastinum|Cancer of Mediastinum|Cancer of the Mediastinum|Cancers, Mediastinal|Cancers, Mediastinum|Mediastinal Cancer|Mediastinal Cancers|Mediastinal Neoplasm|Mediastinum Cancer|Mediastinum Cancers|Mediastinum Neoplasm|Mediastinum Neoplasms|Neoplasm, Mediastinal|Neoplasm, Mediastinum|Neoplasms, Mediastinal|Neoplasms, Mediastinum	Cancer|Respiratory tract disease
OMIM:614251	PARKINSON DISEASE 18, AUTOSOMAL DOMINANT, SUSCEPTIBILITY TO		MESH:D010300	C10.228.140.079.862.500/614251|C10.228.662.600.400/614251|C10.574.812/614251	PARK18	Nervous system disease
OMIM:614672	CARDIOMYOPATHY, DILATED, 2B	DO:DOID:0110441	MESH:D002311	C14.280.195.160/614672|C14.280.238.070/614672	CMD2B	Cardiovascular disease
MESH:D007972	Leukoplakia, Oral		MESH:D007971|MESH:D009062	C04.588.443.591.545|C04.834.512.513|C07.465.565.545|C23.300.816.513	Keratosis, Oral|Leukokeratoses, Oral|Leukokeratosis, Oral|Leukoplakias, Oral|Oral Leukokeratoses|Oral Leukokeratosis|Oral Leukoplakia|Oral Leukoplakias	Cancer|Mouth disease|Pathology (anatomical condition)
MESH:C567125	Combined Saposin Deficiency	OMIM:611721	MESH:D007966	C10.228.140.163.100.362.550/C567125|C10.228.140.163.100.435.825.850.500/C567125|C10.228.140.695.625.550/C567125|C10.314.400.550/C567125|C16.320.565.189.362.550/C567125|C16.320.565.189.435.825.850.500/C567125|C16.320.565.398.641.803.925.500/C567125|C16.320.565.595.554.825.850.500/C567125|C18.452.132.100.362.550/C567125|C18.452.132.100.435.825.850.500/C567125|C18.452.584.687.803.925.500/C567125|C18.452.648.189.362.550/C567125|C18.452.648.189.435.825.850.500/C567125|C18.452.648.398.641.803.925.500/C567125|C18.452.648.595.554.825.850.500/C567125	COMBINED SAP DEFICIENCY|Prosaposin Deficiency|PSAPD	Genetic disease (inborn)|Metabolic disease|Nervous system disease
MESH:D009798	Ocular Hypertension	DO:DOID:9282	MESH:D005128	C11.525	Glaucomas, Suspect|Glaucoma, Suspect|Hypertension, Ocular|Hypertensions, Ocular|Ocular Hypertensions|Suspect Glaucoma|Suspect Glaucomas	Eye disease
MESH:D020315	Latex Hypersensitivity		MESH:D006967	C20.543.600	Allergies, Latex|Allergies, Rubber|Allergies, Rubber Latex|Allergy, Latex|Allergy, Rubber|Allergy, Rubber Latex|Hypersensitivities, Latex|Hypersensitivity, Latex|Latex Allergies|Latex Allergy|Latex Hypersensitivities|Natural Rubber Latex Allergy|Rubber Allergies|Rubber Allergy|Rubber Latex Allergies|Rubber Latex Allergy	Immune system disease
MESH:D003092	Colitis	DO:DOID:0060180	MESH:D003108|MESH:D005759	C06.405.205.265|C06.405.469.158.188	Colitides	Digestive system disease
MESH:D012183	Retrograde Degeneration		MESH:D009410	C23.550.737.500	Axonal Reaction|Axonal Reactions|Axon Reaction|Axon Reactions|Degeneration, Nissl|Degeneration, Retrograde|Degenerations, Retrograde|Degenerations, Transneuronal Retrograde|Degenerations, Trans-Synaptic|Degeneration, Transneuronal Retrograde|Degeneration, Trans-Synaptic|Nissl Degeneration|Reaction, Axon|Reaction, Axonal|Reactions, Axon|Reactions, Axonal|Retrograde Degenerations|Retrograde Degenerations, Transneuronal|Retrograde Degeneration, Transneuronal|Transneuronal Retrograde Degeneration|Transneuronal Retrograde Degenerations|Trans Synaptic Degeneration|Trans-Synaptic Degeneration|Trans-Synaptic Degenerations	Pathology (process)
MESH:C566239	Atrial Septal Defect 1	OMIM:108800	MESH:D006344	C14.240.400.560.375/C566239|C14.280.400.560.375/C566239|C16.131.240.400.560.375/C566239	ASD1|ASD  ATRIAL SEPTAL DEFECT, PRIMUM TYPE, INCLUDED|ASD II, INCLUDED|ASD I, INCLUDED|ATRIAL SEPTAL DEFECT, SECUNDUM TYPE, INCLUDED	Cardiovascular disease|Congenital abnormality
MESH:D015477	Leukemia, Myelomonocytic, Chronic		MESH:D007951|MESH:D054437	C04.557.337.539.522|C15.378.190.615.510	Chronic Myelomonocytic Leukemia|Chronic Myelomonocytic Leukemias|Leukemia, Chronic Myelomonocytic|Leukemias, Chronic Myelomonocytic|Myelomonocytic Leukemia, Chronic|Myelomonocytic Leukemias, Chronic	Blood disease|Cancer
OMIM:615683	SPASTIC PARAPLEGIA 64, AUTOSOMAL RECESSIVE	DO:DOID:0110815	MESH:D015419	C10.500.300.820/615683|C10.574.500.495.820/615683|C10.668.829.800.300.820/615683|C16.131.666.300.820/615683|C16.320.400.375.820/615683	SPG64	Congenital abnormality|Genetic disease (inborn)|Nervous system disease
MESH:C564180	Holoprosencephaly 4	OMIM:142946	MESH:D016142	C05.660.207.410/C564180|C10.500.034.875/C564180|C16.131.077.410/C564180|C16.131.260.380/C564180|C16.131.621.207.410/C564180|C16.131.666.034.875/C564180|C16.320.180.380/C564180	HPE4	Congenital abnormality|Genetic disease (inborn)|Musculoskeletal disease|Nervous system disease
MESH:C566999	Alzheimer Disease 14	OMIM:611154	MESH:D000544	C10.228.140.380.100/C566999|C10.574.945.249/C566999|F03.615.400.100/C566999	AD14	Mental disorder|Nervous system disease
MESH:C562393	Melanoma, Cutaneous Malignant	DO:DOID:8923	MESH:D008545|MESH:D012878	C04.557.465.625.650.510/C562393|C04.557.580.625.650.510/C562393|C04.557.665.510/C562393|C04.588.805/C562393|C17.800.882/C562393	Dysplastic Nevus Syndrome, Hereditary|Familial Atypical Mole-Malignant Melanoma Syndrome|Fammm|Melanoma, Familial	Cancer|Skin disease
MESH:C535314	Miller-McKusick-Malvaux-Syndrome (3M Syndrome)	DO:DOID:0060241|OMIM:273750	MESH:D004392|MESH:D009123	C05.116.099.343/C535314|C10.597.613.575/C535314|C16.320.240/C535314|C19.297/C535314|C23.888.592.608.575/C535314	3M1|3-M Syndrome|3M Syndrome|Dolichospondylic Dysplasia|Gloomy Face Syndrome|GLOOMY FACE SYNDROME YAKUT SHORT STATURE SYNDROME, INCLUDED|Le Merrer Syndrome|Three-M Slender-Boned Nanism|Three M Syndrome|Three M Syndrome 1|Yakut Short Stature Syndrome	Endocrine system disease|Genetic disease (inborn)|Musculoskeletal disease|Nervous system disease|Signs and symptoms
MESH:C564908	Pancreatic Agenesis, Congenital	OMIM:260370|OMIM:615935	MESH:D010182	C06.689/C564908	PAGEN|PAGEN1|PAGEN2|PANCREATIC AGENESIS 1|PANCREATIC AGENESIS 2|Pancreatic Hypoplasia, Congenital|PANCREATIC HYPOPLASIA, CONGENITAL 2	Digestive system disease
OMIM:615685	SPASTIC PARAPLEGIA 61, AUTOSOMAL RECESSIVE	DO:DOID:0110812	MESH:D015419	C10.500.300.820/615685|C10.574.500.495.820/615685|C10.668.829.800.300.820/615685|C16.131.666.300.820/615685|C16.320.400.375.820/615685	SPG61	Congenital abnormality|Genetic disease (inborn)|Nervous system disease
MESH:D014652	Vascular Diseases	DO:DOID:178	MESH:D002318	C14.907	Diseases, Vascular|Disease, Vascular|Vascular Disease	Cardiovascular disease
MESH:D018232	Rhabdomyosarcoma, Alveolar	DO:DOID:4051|OMIM:268220	MESH:D012208	C04.557.450.590.550.660.665|C04.557.450.795.550.660.665	Alveolar Rhabdomyosarcoma|Alveolar Rhabdomyosarcomas|Rhabdomyosarcoma 2|RHABDOMYOSARCOMA, ALVEOLAR|Rhabdomyosarcomas, Alveolar|RMS2|RMSA	Cancer
